nombre_ruta_semantica,cluster_fisico_id,hotspot_id,latitude,longitude,total_camiones,avg_permanencia_min,avg_conduccion_horas,avg_conduccion_post_horas,opportunity_score,top_3_origenes,top_3_destinos
Murcia - Covera - Murcia - Songonera la Seca,56,hs_115,38.0657094,-1.2122116,1,53.6,0.3,0.1,0.074,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,56,hs_16,38.08564812774411,-1.2283547885679742,1,68.8,0.6,0.1,0.109,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,57,hs_66,37.83042044769337,-0.8682937096429213,2,82.0,0.2,0.5,0.119,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,58,hs_1,37.97918166649245,-1.1542512174932587,1,69.5,0.4,0.1,0.096,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,58,hs_47,37.8137574734625,-1.0697241925006487,1,229.6,0.1,0.4,0.236,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,59,hs_13,37.8520665,-1.4274579,2,30.3,0.5,0.4,0.087,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,60,hs_1,37.97918166649245,-1.1542512174932587,2,16.8,0.3,0.1,0.06,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,60,hs_102,37.75452933228008,-1.0436462856836357,1,110.7,0.1,0.4,0.117,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,61,hs_0,37.87222609178602,-1.0917998074781925,1,27.7,0.4,0.4,0.054,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,61,hs_1,37.97918166649245,-1.1542512174932587,1,56.5,0.4,0.1,0.083,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,62,hs_1,37.97918166649245,-1.1542512174932587,1,59.5,0.2,0.2,0.073,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,62,hs_55,37.967435323665846,-1.0817251355996105,1,43.4,0.3,0.2,0.063,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,63,hs_1,37.97918166649245,-1.1542512174932587,1,17.2,0.1,0.0,0.024,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,64,hs_20,37.6050074882613,-0.9822946155772079,2,146.7,0.5,0.7,0.204,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,65,hs_1,37.97918166649245,-1.1542512174932587,2,11.3,0.2,0.1,0.048,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,66,hs_109,37.80240408693474,-0.8064883346716751,1,186.8,0.4,0.6,0.213,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,67,hs_1,37.97918166649245,-1.1542512174932587,1,283.4,0.5,0.1,0.317,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,67,hs_144,38.0745218,-1.2263059,1,608.6,0.7,0.3,0.347,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,68,hs_1,37.97918166649245,-1.1542512174932587,1,28.2,0.2,0.1,0.042,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,68,hs_55,37.967435323665846,-1.0817251355996105,1,19.5,0.5,0.1,0.053,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,69,hs_1,37.97918166649245,-1.1542512174932587,2,149.0,0.3,0.0,0.193,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,69,hs_123,37.836208126839345,-1.1018347656187437,1,123.9,0.0,0.3,0.124,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,70,hs_1,37.97918166649245,-1.1542512174932587,3,201.2,0.3,0.1,0.268,"Murcia - Covera (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,71,hs_1,37.97918166649245,-1.1542512174932587,2,16.6,0.3,0.2,0.06,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,72,hs_24,38.05312440721142,-1.2077891582364577,2,18.4,0.4,0.1,0.069,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,73,hs_1,37.97918166649245,-1.1542512174932587,1,194.0,0.7,0.1,0.241,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,73,hs_17,37.807002712240546,-1.0016995608631607,2,25.7,0.1,0.7,0.056,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,74,hs_1,37.97918166649245,-1.1542512174932587,3,54.2,0.2,0.0,0.115,"Murcia - Covera (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,75,hs_1,37.97918166649245,-1.1542512174932587,3,54.2,0.3,0.0,0.121,"Murcia - Covera (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,76,hs_1,37.97918166649245,-1.1542512174932587,1,284.0,0.4,0.2,0.311,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,76,hs_41,37.86604881403345,-1.1294690649560328,1,35.3,0.2,0.2,0.049,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,76,hs_5,37.89289870210942,-1.1406663674192485,1,14.2,0.4,0.2,0.041,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,77,hs_1,37.97918166649245,-1.1542512174932587,2,12.0,0.3,0.1,0.056,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,78,hs_1,37.97918166649245,-1.1542512174932587,1,49.4,0.6,0.2,0.089,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,78,hs_62,37.99660049999999,-1.304409,1,55.5,0.4,0.4,0.082,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,79,hs_1,37.97918166649245,-1.1542512174932587,1,12.9,0.4,0.0,0.04,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,80,hs_213,37.8183878,-0.8942486,2,24.9,0.2,0.5,0.062,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,81,hs_22,37.88620052912618,-0.9656116463474309,1,170.7,0.7,0.4,0.217,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,82,hs_1,37.97918166649245,-1.1542512174932587,1,438.1,0.3,0.3,0.32,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,82,hs_50,38.02523979533528,-1.2427066276714414,1,90.5,0.3,0.3,0.111,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,83,hs_149,37.8466558,-0.9464796000000001,1,50.1,0.4,0.4,0.077,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,83,hs_207,37.8037061,-0.9344849,1,21.5,0.4,0.5,0.048,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,84,hs_196,37.6195197,-0.8646096,1,389.4,0.4,0.7,0.327,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,85,hs_1,37.97918166649245,-1.1542512174932587,4,19.8,0.2,0.1,0.104,"Murcia - Covera (4 camiones, 100.0%)","Murcia - Songonera la Seca (4 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,85,hs_174,37.7878666,-0.8691056,1,249.9,0.4,0.6,0.277,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,86,hs_53,38.09156416734694,-1.2810812714285713,2,25.2,0.6,0.3,0.089,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,87,hs_156,38.00073530000001,-1.0635567,1,55.0,0.5,0.3,0.088,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,87,hs_51,37.99309541298162,-1.0797285842916418,1,97.3,0.4,0.3,0.124,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,88,hs_1,37.97918166649245,-1.1542512174932587,1,11.1,0.3,0.0,0.031,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
